Ligand0,Receptor0,Receptor1,z_pval,z,perm_pval,fdr,selected
CCL22,CCR4,,0.0,104.43105446253979,0.0,0.0,True
GAS6,AXL,,0.0,83.42156546697413,0.0,0.0,True
FASLG,FAS,,3.965332954405414e-20,9.114126611972353,0.0,0.0,True
CCL19,CCR7,,0.0,188.31936106949397,0.0,0.0,True
CCL5,CCR4,,0.0,91.54603317880652,0.0,0.0,True
TNFSF13,TNFRSF13B,,3.5884576162649846e-147,25.80818320892492,0.0,0.0,True
CCL5,CCR1,,0.0,42.91425568493507,0.0,0.0,True
CSF1,CSF1R,,6.799101850914469e-243,33.26220452611372,0.0,0.0,True
CCL3,CCR1,,5.081133932296126e-242,33.20173526421925,0.0,0.0,True
IL15,IL15RA,IL2RG,1.7531702701621242e-25,10.366922906357113,0.0,0.0,True
IL7,IL7R,IL2RG,1.5892644305668467e-18,8.70490071335523,0.0,0.0,True
CCL2,CCR2,,0.0,48.41645815580114,0.0,0.0,True
VEGFA,KDR,,0.0,86.70910333253825,0.0,0.0,True
CXCL10,CXCR3,,6.37582244029981e-93,20.413250218341968,0.0,0.0,True
VEGFA,KDR,,0.0,86.70910333253825,0.0,0.0,True
EREG,EGFR,ERBB2,1.1310258865934982e-136,24.855374583510425,0.0,0.0,True
EREG,EGFR,,1.98055079980113e-62,16.633877401453457,0.0,0.0,True
AREG,EGFR,ERBB2,5.874040385615366e-253,33.95110484851986,0.0,0.0,True
AREG,EGFR,,4.9756833677891184e-139,25.072394172395743,0.0,0.0,True
EGF,EGFR,ERBB2,0.0,158.4002646562326,0.0,0.0,True
EGF,EGFR,,0.0,80.9942351687607,0.0,0.0,True
CXCL3,CXCR1,,0.01569280551638574,2.1521491256683594,0.0,0.0,True
IL2,IL2RG,,0.0055459055224614,2.539792951564091,0.0,0.0,True
IL2,IL2RG,,0.0055459055224614,2.539792951564091,0.0,0.0,True
CXCL3,CXCR2,,1.503091700815031e-09,5.931260216507162,0.0,0.0,True
CXCL13,CXCR5,,0.0,757.0058127382767,0.0,0.0,True
CXCL12,CXCR4,,0.0,68.08045414986752,0.0,0.0,True
EREG,ERBB2,,7.018537734172855e-128,24.02841803732541,0.0,0.0,True
CCL5,CCR5,,0.0,147.75305403943523,0.0,0.0,True
CCL3,CCR5,,0.0,38.7670928181293,0.0,0.0,True
HLA-DRB5,CD4,,0.0,117.17381568388356,0.0,0.0,True
HLA-B,CD8A,,4.113236301737318e-79,18.795459420248093,0.0,0.0,True
ICOSLG,ICOS,,3.1102095235857396e-25,10.311983267923171,0.0,0.0,True
ICOSLG,CD28,,6.718374898221193e-68,17.37203805052128,0.0,0.0,True
ICOSLG,CTLA4,,2.5421415460394642e-24,10.10813511521645,0.0,0.0,True
HLA-C,CD8A,,1.6524915900757488e-17,8.435249028207453,0.0,0.0,True
CD80,CD274,,3.259507519377778e-72,17.93297994485634,0.0,0.0,True
CD80,CD28,,2.6963874508151215e-180,28.607676313815272,0.0,0.0,True
CD80,CTLA4,,6.577315373067319e-142,25.33498686563932,0.0,0.0,True
CDH2,CDH2,,0.0,148.09304135546833,0.0,0.0,True
CD40LG,CD40,,2.1298460912908777e-13,7.247042855763526,0.0,0.0,True
CDH1,CDH1,,0.0,297.1724886144812,0.0,0.0,True
CCL4,CCR5,,0.0,68.87028244692665,0.0,0.0,True
NCAM1,NCAM1,,0.0,107.41610659380831,0.0,0.0,True
CXCL9,CXCR3,,0.0,39.749275812621335,0.0,0.0,True
HLA-E,KLRC2,,2.0826928627892975e-19,8.932486672066307,0.0,0.0,True
HLA-E,KLRD1,,4.513350135045022e-85,19.51000855768856,0.0,0.0,True
HLA-E,KLRD1,KLRC2,1.9391737981259296e-68,17.443186442844322,0.0,0.0,True
HLA-E,KLRD1,,4.513350135045022e-85,19.51000855768856,0.0,0.0,True
HLA-DPA1,CD4,,0.0,115.43489402427677,0.0,0.0,True
HLA-B,CD8B,,1.2912408435888571e-59,16.24110078364671,0.0,0.0,True
HLA-C,CD8B,,5.939625647666781e-09,5.701450097673554,0.0,0.0,True
HLA-DQA1,CD4,,0.0,114.56949056059322,0.0,0.0,True
HLA-DRA,CD4,,0.0,145.17314975229732,0.0,0.0,True
HLA-DQA2,CD4,,0.0,87.53234822841264,0.0,0.0,True
PECAM1,PECAM1,,0.0,210.8745321411669,0.0,0.0,True
HLA-E,CD8A,,1.7680449183781004e-06,4.636937671169194,0.06000000000000005,0.0757894736842106,True
HLA-A,CD8B,,3.1481376114521464e-05,4.001422747035428,0.10999999999999999,0.136551724137931,False
CXCL13,CXCR3,,0.16625868324286303,0.9690557652449053,0.15000000000000002,0.18305084745762715,False
HGF,MET,,0.5003793563999269,-0.0009509056215239967,0.18000000000000005,0.21600000000000005,False
HLA-E,CD8B,,0.01103027064079448,2.2893238789644226,0.36,0.4249180327868852,False
HLA-A,CD8A,,0.0016468960491507012,2.938900111574537,0.48,0.5574193548387096,False
CCL5,CCR3,,0.9999999999995614,-7.148487352711214,1.0,1.0,False
IGF1,IGF1R,,1.0,-59.300321755900534,1.0,1.0,False
IL1B,IL1R1,,1.0,-9.51391636219025,1.0,1.0,False
TNFSF9,TNFRSF9,,0.8697716684423746,-1.1253124327949464,0.88,1.0,False
SPP1,CD44,,1.0,-30.996301778246103,1.0,1.0,False
FN1,CD44,,1.0,-96.67732161957834,1.0,1.0,False
COL1A1,CD44,,1.0,-68.94253188578833,1.0,1.0,False
CDH1,KLRG1,,1.0,-23.148059070030623,1.0,1.0,False
CXCL16,CXCR6,,1.0,-107.27632776939551,1.0,1.0,False
TNFSF13B,TNFRSF13B,,1.0,-31.900035023237475,1.0,1.0,False
